COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
00267350;2;CALLE;DEL;ACEBO;ACEBO;25/07/1972;26/07/1972;V
00267400;1;CALLE;DE;ENRIQUE LARRETA;ENRIQUE LARRETA;18/08/1961;;V
00267400;2;CALLE;DE;SAGITARIA;SAGITARIA;17/08/1961;18/08/1961;V
00267500;1;CALLE;DE;ENRIQUE LEYRA;ENRIQUE LEYRA;01/01/1958;;V
00267600;1;CALLE;DE;ENRIQUE LOPEZ;ENRIQUE LÓPEZ;01/01/1968;;V
00267700;1;CALLE;DE;ENRIQUE MARTINEZ;ENRIQUE MARTÍNEZ;01/01/1967;;V
00267750;1;PLAZA;DE;ENRIQUE DE MESA;ENRIQUE DE MESA;28/01/1983;;V
00267800;1;CALLE;DE;ENRIQUE MOYANO;ENRIQUE MOYANO;01/01/1984;;V
00267850;1;CALLE;DE;ENRIQUE DE PRADA;ENRIQUE DE PRADA;30/03/1950;;V
00267900;1;CALLE;DE;ENRIQUE RUIZ;ENRIQUE RUIZ;01/01/1971;;V
00268200;1;CALLE;DE;ENRIQUE SIMONIS;ENRIQUE SIMONIS;01/01/1972;;V
00268300;1;CALLE;DE;ENRIQUE DE LA TORRE;ENRIQUE DE LA TORRE;01/01/1986;15/05/1991;H
00268400;1;CALLE;DE;ENRIQUE TROMPETA;ENRIQUE TROMPETA;28/02/1916;;V
00268500;1;CALLE;DE;ENRIQUE VELASCO;ENRIQUE VELASCO;22/07/1949;;V
00268600;1;PASAJE;DE;ENRIQUE VELASCO;ENRIQUE VELASCO;22/07/1949;;V
00268700;1;TRAVESIA;DE;ENRIQUE VELASCO;ENRIQUE VELASCO;01/01/1974;;V
00268800;1;CALLE;DE;ENRIQUE I;ENRIQUE I;01/01/1931;;V
00268900;1;CALLE;DE;ENRIQUETA ESTEBAN;ENRIQUETA ESTEBAN;31/12/1985;01/01/1986;H
00269000;1;CALLE;DE;ENRIQUETA SOLER;ENRIQUETA SOLER;31/12/1985;01/01/1986;H
00269100;1;PLAZA;DE;ENSIDESA;ENSIDESA;26/03/1962;;V
00269200;1;CALLE;;ENTRE ARROYOS;ENTRE ARROYOS;08/02/1961;;V
00269300;1;CALLE;DE;ENTRENA;ENTRENA;31/05/1961;;V
00269400;1;AVENIDA;;ENTREVIAS;ENTREVÍAS;08/07/1953;;V
00269500;1;GLORIETA;DE;EOLO;EOLO;14/07/1950;;V
00269600;1;CALLE;DE LA;EPIFANIA;EPIFANÍA;01/01/1972;;V
00269700;1;CALLE;DE;LA EPOCA;LA ÉPOCA;12/03/1952;;V
00269700;2;CALLE;DE;MARIA LUISA;MARÍA LUISA;09/01/1948;12/03/1952;V
00269800;1;CALLE;DE LAS;ERAS;ERAS;01/01/1981;;V
00269900;1;TRAVESIA;DE LAS;ERAS;ERAS;31/12/1985;01/01/1986;H
00270000;1;CALLE;DE LAS;ERAS ALTAS;ERAS ALTAS;01/01/1965;;V
00270000;2;CALLE;DE;VICALVARO;VICÁLVARO;31/12/1964;01/01/1965;V
00270100;1;CALLE;DE;ERASO;ERASO;02/03/1887;;V
00270100;2;CALLE;DE;SAHAGUN (Y/O) SAMOS;SAHAGÚN (Y/O) SAMOS;01/01/1887;02/03/1887;V
00270200;1;CALLE;DE;ERCILLA;ERCILLA;06/02/1860;;V
00270300;1;CALLE;DEL;ERESMA;ERESMA;03/05/1934;;V
00270350;1;CALLE;DE;ERIDANO;ERÍDANO;28/05/1976;;V
00270400;1;PASEO;DE LA;ERMITA;ERMITA;01/01/1960;;V
00270500;1;PASEO;DE LA;ERMITA DEL SANTO;ERMITA DEL SANTO;05/06/1959;;V
00270500;2;CARRERA;DE;SAN ISIDRO;SAN ISIDRO;23/02/1876;05/06/1959;V
00270500;3;CAMINO;DE;SAN ISIDRO;SAN ISIDRO;01/01/1874;23/02/1876;V
00270600;1;CALLE;DE;ERNESTINA MANUEL DE VILLENA;ERNESTINA MANUEL DE VILLENA;11/03/1943;;V
00270600;2;CALLE;DE;MANUEL VILLENA;MANUEL VILLENA;21/01/1943;11/03/1943;V
00270700;1;CALLE;DE;ERVIGIO;ERVIGIO;14/07/1950;;V
00270800;1;CALLE;DE LA;ESCABIOSA;ESCABIOSA;19/02/1948;20/02/1948;H
00270900;1;CALLE;DE;LA ESCALA;LA ESCALA;05/08/1960;;V
00271000;2;CALLE;DE LA;ESCALERILLA DE PIEDRA;ESCALERILLA DE PIEDRA;11/01/1835;;V
00271100;1;CALLE;DE LA;ESCALINATA;ESCALINATA;11/01/1835;;V
00271200;1;CALLE;DE;ESCALONA;ESCALONA;30/06/1966;;V
00271200;2;CALLE;DE;TORRELAVEGA;TORRELAVEGA;29/06/1966;30/06/1966;V
00271250;1;CALLE;DE;ESCALONILLA;ESCALONILLA;27/04/1978;;V
00271260;1;CALLE;DEL;ESCANDON;ESCANDÓN;02/01/1957;;V
00271400;1;CALLE;DEL;ESCARAMUJO;ESCARAMUJO;20/02/1948;;V
00271500;1;CALLE;DE;ESCARPA;ESCARPA;31/12/1985;01/01/1986;H
00271600;1;CALLE;DE;ESCOCIA;ESCOCIA;01/01/1932;;V
00271700;1;CALLE;DE;EL ESCORIAL;EL ESCORIAL;11/01/1835;;V
00271750;1;CALLE;DE;ESCORIAZA;ESCORIAZA;25/02/1972;;V
00271750;2;CALLE;;3;3;01/01/1971;25/02/1972;V
00271775;1;CALLE;DEL;ESCORPION;ESCORPIÓN;29/03/1985;;V
00271800;1;CALLE;DE;ESCOSURA;ESCOSURA;21/07/1880;;V
00271900;1;CALLE;DE LOS;ESCRIBANOS;ESCRIBANOS;02/07/1954;;V
00272000;1;CALLE;DE LA;ESCUADRA;ESCUADRA;11/01/1835;;V
00272100;1;CALLE;DEL;ESCUADRON;ESCUADRÓN;07/08/1964;;V
00272200;1;PASAJE;DEL;ESCUDO;ESCUDO;16/03/1960;;V
00272400;1;CALLE;DE LAS;ESCUELAS;ESCUELAS;11/03/1943;;V
00272500;1;CAMINO;;ESCUELAS BOSQUE;ESCUELAS BOSQUE;01/01/1986;02/01/1986;H
00272600;1;CALLE;DE;ESCULANO;ESCULANO;14/07/1950;;V
00272700;1;CALLE;DE LOS;ESCULTORES;ESCULTORES;09/03/1962;;V
00272800;1;CALLE;DE LOS;ESENCIEROS;ESENCIEROS;09/03/1962;;V
00272900;1;CALLE;DE LA;ESFINGE;ESFINGE;14/07/1950;;V
00273000;1;CALLE;DE LA;ESGRIMA;ESGRIMA;11/01/1835;;V
00273000;2;CALLE;DEL;HORNO DE LA ESPADA (Y/O) DE LA ESGRIMA;HORNO DE LA ESPADA (Y/O) DE LA ESGRIMA;01/01/1835;11/01/1835;V
00273100;1;CALLE;DEL;ESMALTE;ESMALTE;31/12/1985;01/01/1986;H
00273200;1;CALLE;DE LA;ESMERALDA;ESMERALDA;29/09/1954;;V
00273200;2;CALLE;DE;MALAGA;MÁLAGA;28/09/1954;29/09/1954;V
00273300;1;CALLE;DE LA;ESPADA;ESPADA;11/01/1835;;V
00273400;1;CALLE;DEL;ESPADAÑEDO;ESPADAÑEDO;31/12/1981;01/01/1982;H
00273500;1;CALLE;DE;ESPALTER;ESPALTER;02/03/1887;;V
00273500;2;CALLE;;NUEVA (SIN NOMBRE);NUEVA (SIN NOMBRE);01/01/1887;02/03/1887;V
00273600;1;PLAZA;DE;ESPAÑA;ESPAÑA;26/07/1912;;V
00273600;2;PLAZA;DE;SAN MARCIAL;SAN MARCIAL;11/01/1835;26/07/1912;V
00273700;1;PASAJE;DEL;ESPAÑOL;ESPAÑOL;01/01/1971;;V
00273800;1;CALLE;DE;EL ESPAÑOLETO;EL ESPAÑOLETO;06/02/1860;;V
00273850;1;CAMINO;DEL;ESPARRAGAL;ESPARRAGAL;01/01/1960;01/01/2008;H
00273900;1;CALLE;DE;ESPARTA;ESPARTA;14/07/1950;;V
00274000;1;CALLE;DE;ESPARTEROS;ESPARTEROS;11/01/1835;;V
00274000;2;CALLE;DE;SANTA CRUZ (BAJADA O SUBIDA) (Y/O) ESPARTEROS;SANTA CRUZ (BAJADA O SUBIDA) (Y/O) ESPARTEROS;01/01/1835;11/01/1835;V
00274100;1;CALLE;DE;ESPARTINAS;ESPARTINAS;02/03/1887;;V
00274100;2;TRAVESIA;DEL;GENERAL PARDIÑAS;GENERAL PARDIÑAS;01/01/1885;02/03/1887;V
00274150;1;CALLE;DEL;ESPARTO;ESPARTO;31/12/1985;01/01/1986;H
00274200;1;CALLE;;ESPEJA;ESPEJA;01/01/1986;18/01/1991;H
00274300;1;CALLE;DEL;ESPEJO;ESPEJO;11/01/1835;;V
00274400;1;CALLE;DE;ESPERANZA;ESPERANZA;11/01/1835;;V
00274600;1;PASEO;DE LA;ESPERANZA;ESPERANZA;01/01/1932;;V
00274700;1;CALLE;DE;ESPERANZA CARMONA;ESPERANZA CARMONA;01/01/1968;01/01/1999;H
00274800;1;CALLE;DE;ESPERANZA FERRANDO;ESPERANZA FERRANDO;01/01/1958;02/01/1995;H
00274900;1;CALLE;DE;ESPERANZA GARCIA;ESPERANZA GARCÍA;01/01/1982;;V
00275000;1;CALLE;DE;ESPERANZA MACARENA;ESPERANZA MACARENA;02/07/1954;;V
00275100;1;CALLE;DE;ESPERANZA SANCHEZ CARRASCOSA;ESPERANZA SÁNCHEZ CARRASCOSA;01/01/1974;;V
00275200;1;CALLE;DE;EL ESPINAR;EL ESPINAR;09/01/1948;;V
00275300;1;AVENIDA;DE LA;ESPINELA;ESPINELA;29/09/1954;;V
00275300;2;AVENIDA;DE LOS;MARTIRES;MÁRTIRES;02/07/1954;29/09/1954;V
00275400;1;CALLE;DEL;ESPINO;ESPINO;11/01/1835;;V
00275500;1;CALLE;DE LOS;ESPINOS;ESPINOS;01/01/1969;;V
00275600;1;CALLE;DE LA;ESPIREA;ESPIREA;01/01/1972;;V
00275700;1;CALLE;DEL;ESPIRITU SANTO;ESPÍRITU SANTO;11/01/1835;;V
00275700;2;CALLE;DE LA;CRUZ DEL ESPIRITU SANTO (Y/O) DEL ESPIRITU SANTO;CRUZ DEL ESPÍRITU SANTO (Y/O) DEL ESPÍRITU SANTO;01/01/1835;11/01/1835;V
00275900;1;CALLE;DEL;ESPLIEGO;ESPLIEGO;06/08/1948;;V
00275900;2;CALLE;DE;AGUSTIN QUEROL;AGUSTÍN QUEROL;05/08/1948;06/08/1948;V
00276000;1;PLAZA;DE;ESPORLAS;ESPORLAS;06/11/1959;13/07/1992;H
00276100;1;CALLE;DE;ESPOZ Y MINA;ESPOZ Y MINA;17/03/1840;;V
00276200;1;CALLE;DE;ESPRONCEDA;ESPRONCEDA;21/07/1880;;V
00276300;1;CALLE;DE;ESQUILACHE;ESQUILACHE;21/07/1880;;V
00276400;1;CALLE;DE;ESQUIVEL;ESQUIVEL;02/12/1953;;V
00276450;1;PLAZA;DE;ESQUIVIAS;ESQUIVIAS;28/04/1972;;V
00276490;1;CALLE;DE LA;ESTACION;ESTACIÓN;01/01/1982;;V
00276600;1;AVENIDA;DE LA;ESTACION;ESTACIÓN;01/01/1973;;V
00276900;1;CARRETERA;DE LA;ESTACION;ESTACIÓN;01/01/1986;;V
00277100;1;PASEO;DE LA;ESTACION;ESTACIÓN;01/01/1970;;V
00277100;2;RONDA;DE LA;ESTACION;ESTACIÓN;31/12/1969;01/01/1970;V
00277500;1;CALLE;DE LA;ESTACION DEPURADORA;ESTACIÓN DEPURADORA;31/12/1985;01/01/1986;H
00277700;2;CARRETERA;A LA;ESTACION DE HORTALEZA;ESTACIÓN DE HORTALEZA;01/01/1975;;V
00277700;1;ACCESO;A LA;ESTACION DE HORTALEZA;ESTACIÓN DE HORTALEZA;31/12/1974;01/01/1975;V
00278500;1;CALLE;DE LA;ESTAFETA;ESTAFETA;14/11/1956;;V
00278500;2;CALLE;DE;NAVALCARNERO;NAVALCARNERO;13/11/1956;14/11/1956;V
00278600;1;CALLE;DE;ESTANISLAO FIGUERAS;ESTANISLAO FIGUERAS;01/01/1885;;V
00278700;1;CALLE;DE;ESTANISLAO GOMEZ;ESTANISLAO GÓMEZ;17/08/1949;;V
00278800;1;CALLE;DE LOS;ESTANQUES;ESTANQUES;31/10/1983;01/11/1983;H
00278825;1;CALLE;DEL;ESTAÑO;ESTAÑO;28/11/1975;;V
00278825;2;CALLE;DEL;SEGURA;SEGURA;27/11/1975;28/11/1975;V
00278900;1;CALLE;DEL;ESTE;ESTE;31/12/1985;01/01/1986;H
00279000;1;PLAZA;DEL;ESTE;ESTE;01/01/1985;;V
00279200;2;CALLE;DE;HILARIO PEÑASCO;HILARIO PEÑASCO;25/01/1984;;V
00279200;1;CALLE;DE;ESTEBAN CARRO;ESTEBAN CARRO;24/01/1984;25/01/1984;V
00279300;1;CALLE;DE;ESTEBAN CARROS;ESTEBAN CARROS;22/07/1949;;V
00279500;2;CALLE;DE;ESTEBAN COLLANTES;ESTEBAN COLLANTES;01/01/1967;;V
00279500;1;CALLE;DEL;CONDE ESTEBAN COLLANTES;CONDE ESTEBAN COLLANTES;31/12/1966;01/01/1967;V
00279600;1;CALLE;DE;ESTEBAN MORA;ESTEBAN MORA;01/01/1968;;V
00279725;1;CALLE;DE;ESTEBAN TERRADAS;ESTEBAN TERRADAS;30/01/1970;;V
00279725;2;CALLE;DE;JOSE DE CASO;JOSÉ DE CASO;29/01/1970;30/01/1970;V
00279750;1;CALLE;DE;ESTEBANEZ CALDERON;ESTÉBANEZ CALDERÓN;31/01/1968;;V
00279800;1;CALLE;DE;ESTELLA;ESTELLA;31/12/1985;01/01/1986;H
00279900;1;CALLE;DEL;ESTEPAL;ESTEPAL;01/01/1983;19/03/2013;H
00280000;1;CALLE;DE;ESTEVEZ;ESTÉVEZ;23/12/1929;;V
00280100;1;CALLE;DE;ESTIBALIZ;ESTÍBALIZ;01/01/1986;;V
00280200;1;CALLE;DEL;ESTIGIA;ESTIGIA;14/07/1950;;V
00280300;1;CALLE;DEL;ESTIO;ESTÍO;31/12/1985;01/01/1986;H
00280400;1;CALLE;DE;ESTORIL;ESTORIL;13/01/1954;;V
00280500;1;PASAJE;DE;ESTORIL;ESTORIL;01/01/1981;;V
00280600;1;PLAZA;DE;ESTORIL;ESTORIL;08/01/1954;;V
00280700;1;CALLE;DEL;ESTORNINO;ESTORNINO;14/07/1950;01/01/1998;H
00280800;1;CALLE;DE;ESTRAMUROS;ESTRAMUROS;31/12/1985;01/01/1986;H
00280900;1;CALLE;DEL;ESTRECHO DE BONIFACIO;ESTRECHO DE BONIFACIO;31/10/1983;01/11/1983;H
00281000;1;CALLE;DEL;ESTRECHO DE COREA;ESTRECHO DE COREA;18/02/1953;;V
00281100;1;CALLE;DEL;ESTRECHO DE GIBRALTAR;ESTRECHO DE GIBRALTAR;18/02/1953;;V
00281200;1;CALLE;DEL;ESTRECHO DE MESINA;ESTRECHO DE MESINA;18/02/1953;;V
00281200;2;CALLE;DEL;MARQUES DE TORRELAGUNA;MARQUÉS DE TORRELAGUNA;17/08/1949;18/02/1953;V
00281300;2;CALLE;DEL;ESTRECHO DE TORRES;ESTRECHO DE TORRES;18/02/1953;;V
00281300;1;CALLE;DE;CONSUELO CANILLAS;CONSUELO CANILLAS;17/02/1953;18/02/1953;V
00281400;1;CALLE;DE LA;ESTRELLA;ESTRELLA;11/01/1835;;V
00281550;1;CALLE;DE LA;ESTRELLA DE ORO;ESTRELLA DE ORO;31/12/1985;01/01/1986;H
00281600;1;CALLE;DE LA;ESTRELLA POLAR;ESTRELLA POLAR;16/03/1960;;V
00281700;1;CALLE;DE;ESTREMERA;ESTREMERA;31/12/1985;01/01/1986;H
00281800;1;CALLE;DEL;ESTRONCIO;ESTRONCIO;01/01/1967;;V
00281900;1;CALLE;DE LOS;ESTUDIANTES;ESTUDIANTES;01/01/1928;;V
00281950;1;CALLE;DEL;ESTUDIO;ESTUDIO;01/01/1973;;V
00282000;1;CALLE;DE LOS;ESTUDIOS;ESTUDIOS;11/01/1835;;V
00282100;1;CALLE;DEL;ETNA;ETNA;01/06/1964;;V
00282200;1;CALLE;DE;ETOLINO;ETOLINO;10/07/1950;15/05/1991;H
00282300;1;CALLE;DE;ETRURIA;ETRURIA;01/01/1959;;V
00282400;1;CALLE;DEL;EUCALIPTO;EUCALIPTO;20/02/1948;03/09/1992;H
00282410;1;CALLE;DE;EUGENIA DE MONTIJO;EUGENIA DE MONTIJO;12/03/1952;;V
00282410;3;CALLE;DE;JOSE CALVO SOTELO;JOSÉ CALVO SOTELO;01/01/1940;12/03/1952;V
00282425;1;CALLE;DE;EUCLIDES;EUCLIDES;31/12/1985;01/01/1986;H
00282475;1;CALLE;DE;EUGENIA;EUGENIA;31/12/1985;01/01/1986;H
00282500;1;CALLE;DEL;PARQUE EUGENIA DE MONTIJO;PARQUE EUGENIA DE MONTIJO;01/04/1969;;V
00282600;1;CALLE;DE;EUGENIO;EUGENIO;01/01/1971;;V
00282700;1;CALLE;DE;EUGENIO CAXES;EUGENIO CAXES;26/03/1924;;V
00282800;1;CALLE;DE;EUGENIO MARTIN;EUGENIO MARTÍN;31/12/1985;01/01/1986;H
00282900;1;CALLE;DE;EUGENIO PEREZ;EUGENIO PÉREZ;01/01/1981;;V
00283000;1;CALLE;DE;EUGENIO SALAZAR;EUGENIO SALAZAR;02/03/1887;;V
00283000;2;CALLE;DE;SANTA CATALINA;SANTA CATALINA;01/01/1887;02/03/1887;V
00283100;1;CALLE;DE;EUGENIO SELLES;EUGENIO SELLÉS;30/11/1953;;V
00283200;1;CALLE;DE;EUGENIO ZUBIA;EUGENIO ZUBÍA;22/07/1949;;V
00283300;2;CALLE;DE;GRANJA DE TORREHERMOSA;GRANJA DE TORREHERMOSA;25/09/1998;;V
00283300;1;CALLE;DE;EULALIA AYUCAR;EULALIA AYÚCAR;01/01/1986;25/09/1998;V
00283400;1;CALLE;DE;EULALIA GIL;EULALIA GIL;01/01/1949;;V
00283500;1;CALLE;DE;EULALIA PAINO;EULALIA PAÍNO;01/01/1969;;V
00283600;1;CALLE;DE;EULOGIO PEDRERO;EULOGIO PEDRERO;01/01/1977;;V
00283700;1;CALLE;DE;EURICO;EURICO;14/07/1950;;V
00283800;1;PLAZA;DE;EURIPIDES;EURÍPIDES;14/07/1950;;V
00283900;1;CALLE;DE;EUROPA;EUROPA;01/01/1949;;V
00284000;1;CALLE;DE;EUSEBIO BLASCO;EUSEBIO BLASCO;06/08/1915;;V
00284100;1;CALLE;DE;EUSEBIO ISIDRO;EUSEBIO ISIDRO;31/12/1985;;V
00284200;1;CALLE;DE;EUSEBIO MARTINEZ BARONA;EUSEBIO MARTÍNEZ BARONA;01/01/1977;;V
00284300;1;CALLE;DE;EUSEBIO MORAN;EUSEBIO MORÁN;09/01/1948;;V
00284400;1;CALLE;DE;EUSKALDUNA;EUSKALDUNA;29/09/1954;;V
00284500;1;CALLE;DE;EUSTAQUIO RODRIGUEZ;EUSTAQUIO RODRÍGUEZ;01/01/1931;;V
00284600;1;CALLE;DE;EUSTASIO FERNANDEZ;EUSTASIO FERNÁNDEZ;31/12/1985;01/01/1986;H
00284700;1;CALLE;DE LOS;EVANGELIOS;EVANGELIOS;20/01/1954;;V
00284800;1;CALLE;DE;EVARISTO DE MIGUEL;EVARISTO DE MIGUEL;31/12/1985;01/01/1986;H
00284900;1;CALLE;DE;EVARISTO SAN MIGUEL;EVARISTO SAN MIGUEL;31/10/1902;;V
00284900;2;CALLE;DE;DON EVARISTO;DON EVARISTO;19/10/1865;31/10/1902;V
00284950;1;CALLE;DE;EVORA;ÉVORA;29/03/1974;;V
00284950;2;CALLE;DE;TOMAS CARRASCO;TOMÁS CARRASCO;28/03/1974;29/03/1974;V
00285000;1;CALLE;DE LA;EXPLANADA;EXPLANADA;01/01/1928;;V
00285050;1;CALLE;DE LA;EXPROPIACION;EXPROPIACIÓN;29/07/1980;;V
00285200;2;PASEO;DE;EXTREMADURA;EXTREMADURA;08/11/1912;;V
00285200;1;CARRETERA;DE;EXTREMADURA;EXTREMADURA;29/08/1859;08/11/1912;V
00285225;1;CALLE;DE LOS;EXTREMEÑOS;EXTREMEÑOS;22/07/1983;;V
00285235;1;CALLE;DEL;CABO DE CREUS;CABO DE CREUS;21/03/1986;;V
00285235;2;CALLE;DE;JOSEP PLA;JOSEP PLA;27/12/1985;21/03/1986;V
00285250;1;CALLE;DE;EZCARAY;EZCARAY;26/09/1969;;V
00285300;1;CALLE;DE;EZEQUIEL PEÑALVER;EZEQUIEL PEÑALVER;01/01/1958;;V
00285400;1;CALLE;DE;EZEQUIEL SOLANA;EZEQUIEL SOLANA;10/11/1950;;V
00285900;1;CALLE;DE;FABRILO;FABRILO;01/01/1963;01/09/1981;H
00286000;1;CALLE;DEL;FACTOR;FACTOR;11/01/1835;;V
00286100;1;CALLE;DEL;FALCINELO;FALCINELO;14/10/1950;;V
00286200;1;CALLE;DE LA;FALUA;FALÚA;20/02/1965;;V
00286300;1;CALLE;DE;FARIZA;FARIZA;31/10/1982;01/11/1982;H
00286400;1;CALLE;DE LA;FARMACIA;FARMACIA;11/01/1835;;V
00286400;2;CALLE;DE;SAN JUAN;SAN JUAN;01/01/1835;11/01/1835;V
00286500;1;CALLE;DE;FARO;FARO;08/01/1954;;V
00286600;2;CALLE;DE;FAUSTA ELORZ;FAUSTA ELORZ;20/12/2001;;V
00286600;1;CALLE;DE;FAUSTA ELORZA;FAUSTA ELORZA;21/01/1943;20/12/2001;V
00286700;1;CALLE;DE;FAUSTINA ALONSO;FAUSTINA ALONSO;31/10/1980;01/11/1980;H
00286800;1;CALLE;DE;FAUSTINA CALVO;FAUSTINA CALVO;29/04/1948;;V
00286900;1;CALLE;DE;FAUSTINA MENA;FAUSTINA MENA;01/01/1972;;V
00287000;1;CALLE;DE;FAUSTINA PEÑALVER;FAUSTINA PEÑALVER;01/01/1977;;V
00287100;1;CALLE;DE;FAUSTINO GARIJO;FAUSTINO GARIJO;01/01/1968;;V
00287200;1;CALLE;DE;FAUSTINO LOPEZ;FAUSTINO LÓPEZ;04/06/1948;28/07/2010;H
00287300;1;CALLE;DE;FAUSTINO OSORIO;FAUSTINO OSORIO;01/01/1932;;V
00287400;1;CALLE;DE;FAUSTO DOMINGO;FAUSTO DOMINGO;01/01/1986;;V
00287450;2;CALLE;DE;FAVILA;FAVILA;14/07/1950;;V
00287500;1;CALLE;DE LA;FE;FE;11/01/1835;;V
00287550;1;CALLE;DE;FE DE VINDA;FE DE VINDA;31/12/1985;01/01/1986;H
00287600;1;CALLE;DE;FEBRERO;FEBRERO;01/01/1957;;V
00287800;1;CALLE;DE;FEDERICO AGUSTI;FEDERICO AGUSTÍ;01/01/1968;;V
00287850;1;CALLE;DE;FEDERICO CARLOS SAINZ DE ROBLES;FEDERICO CARLOS SAINZ DE ROBLES;22/07/1983;;V
00287900;1;CALLE;DE;FEDERICO CHUECA;FEDERICO CHUECA;31/12/1985;01/01/1986;H
00288000;1;CALLE;DE;FEDERICO FABREGAS;FEDERICO FÁBREGAS;31/12/1985;01/01/1986;H
00288040;2;PASEO;DE;FEDERICO GARCIA LORCA;FEDERICO GARCÍA LORCA;26/06/1981;;V
00288040;1;AVENIDA;DE LOS;CAIDOS;CAÍDOS;12/07/1939;26/06/1981;V
00288050;1;CALLE;DE;FEDERICO GARCIA SANCHIZ;FEDERICO GARCÍA SANCHÍZ;20/09/1975;;V
00288100;1;CALLE;DE;FEDERICO GRASES;FEDERICO GRASES;09/01/1948;;V
00288200;1;CALLE;DE;FEDERICO GUTIERREZ;FEDERICO GUTIÉRREZ;17/08/1949;;V
00288300;1;CALLE;DE;FEDERICO MAYO;FEDERICO MAYO;16/11/1955;;V
00288400;1;CALLE;DE;FEDERICO NUÑEZ;FEDERICO NÚÑEZ;01/01/1986;;V
00288500;1;CALLE;DE;FEDERICO ORIOL;FEDERICO ORIOL;01/01/1986;;V
00288550;1;CALLE;DE;FEDERICO ROMERO;FEDERICO ROMERO;30/11/1977;;V
00288600;1;CALLE;DE;FEDERICO SALMON;FEDERICO SALMÓN;13/02/1963;;V
00288700;1;CALLE;DE;FEIJOO;FEIJOO;06/02/1860;;V
00288800;1;CALLE;DE;FELIPE;FELIPE;31/12/1985;01/01/1986;H
00288900;1;CALLE;DE;FELIPE ALONSO;FELIPE ALONSO;31/12/1985;01/01/1986;H
00289000;1;CALLE;DE;FELIPE ALVAREZ;FELIPE ÁLVAREZ;01/01/1969;;V
00289100;1;CALLE;DE;FELIPE CAMPOS;FELIPE CAMPOS;01/01/1945;;V
00289200;1;CALLE;DE;FELIPE CASTRO;FELIPE CASTRO;02/07/1954;;V
00289300;1;CALLE;DE;FELIPE DIAZ;FELIPE DÍAZ;01/01/1949;;V
00289400;1;CALLE;DE;FELIPE FRAILE;FELIPE FRAILE;01/01/1974;;V
00289500;1;CALLE;DE;FELIPE GONZALEZ;FELIPE GONZÁLEZ;01/01/1958;08/02/2006;H
00289600;1;CALLE;DE;FELIPE EL HERMOSO;FELIPE EL HERMOSO;06/02/1860;;V
00289600;2;CALLE;DEL;NORTE;NORTE;29/08/1859;06/02/1860;V
00289700;1;CALLE;DE;FELIPE HERRANZ;FELIPE HERRANZ;01/01/1986;;V
00289800;1;CALLE;DE;FELIPE MONTERO;FELIPE MONTERO;01/01/1977;26/10/1989;H
00289900;1;CALLE;DE;FELIPE MORA;FELIPE MORA;01/01/1971;;V
00290000;1;CALLE;DE;FELIPE MORATILLA;FELIPE MORATILLA;26/03/1924;;V
00290000;2;CALLE;;MADRID;MADRID;01/01/1924;26/03/1924;V
00290100;1;CALLE;DE;FELIPE PEREZ Y GONZALEZ;FELIPE PÉREZ Y GONZÁLEZ;01/01/1949;;V
00290200;1;AVENIDA;DE;FELIPE II;FELIPE II;13/12/1941;;V
00290200;4;AVENIDA;DE LA;PLAZA DE TOROS;PLAZA DE TOROS;26/04/1940;13/12/1941;V
00290200;3;AVENIDA;DE;FRANCISCO FERRER;FRANCISCO FERRER;08/09/1933;26/04/1940;V
00290200;5;AVENIDA;DE LA;PLAZA DE TOROS;PLAZA DE TOROS;01/01/1902;08/09/1933;V
00290200;6;CALLE;DE LA;PLAZA DE TOROS;PLAZA DE TOROS;21/07/1880;01/01/1902;V
00290200;7;CAMINO;DE LA;PLAZA DE TOROS;PLAZA DE TOROS;01/01/1877;21/07/1880;V
00290250;1;CALLE;DE;FELIPE PINGARRON;FELIPE PINGARRÓN;27/09/1985;;V
00290300;1;CALLE;DE;FELIPE III;FELIPE III;07/06/1851;;V
00290300;2;CALLE;DE LOS;BOTEROS;BOTEROS;25/04/1845;07/06/1851;V
00290300;3;CALLE;DE LA;MILICIA NACIONAL;MILICIA NACIONAL;01/01/1840;25/04/1845;V
00290300;4;CALLE;DE LOS;BOTEROS;BOTEROS;11/01/1835;01/01/1840;V
00290400;1;CALLE;DE;FELIPE IV;FELIPE IV;04/08/1865;;V
00290410;1;PLAZA;DE;FELIPE IV;FELIPE IV;31/12/1985;01/01/1986;H
00290500;1;CALLE;DE;FELIPE V;FELIPE V;31/03/1848;;V
00290600;1;CALLE;DE;FELISA ALONSO;FELISA ALONSO;31/12/1985;01/01/1986;H
00290700;1;CALLE;DE;FELISA MENDEZ;FELISA MÉNDEZ;01/01/1973;;V
00290800;1;CALLE;DE;FELISA PIZARRO;FELISA PIZARRO;01/01/1969;;V
00290900;1;CALLE;DE;FELIX ALMAGRO;FÉLIX ALMAGRO;01/01/1963;01/09/1981;H
00291000;1;CALLE;DE;FELIX BOIX;FÉLIX BOIX;11/03/1954;;V
00291100;1;CALLE;DE;FELIX LOPEZ;FÉLIX LÓPEZ;01/01/1968;;V
