COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
00000757;1;CALLE;DE LA;INDULGENCIA;INDULGENCIA;30/05/1989;;V
00000758;1;CALLE;DE LA;DALIA;DALIA;30/05/1989;;V
00000759;1;CAMINO;DE LA;CUERDA;CUERDA;30/05/1989;;V
00000760;1;CALLE;DE;BRIVIESCA;BRIVIESCA;30/05/1989;;V
00000761;1;CALLE;DE;JOSE BASTOS;JOSÉ BASTOS;22/06/1989;;V
00000762;1;CALLE;DE LA;LAGUNA DE LOS PAJAROS;LAGUNA DE LOS PÁJAROS;22/06/1989;;V
00000763;1;CALLE;DEL;PICO DE LA GOLONDRINA;PICO DE LA GOLONDRINA;22/06/1989;;V
00000764;1;CALLE;DE LA;LOMA DE LOS BAILANDEROS;LOMA DE LOS BAILANDEROS;22/06/1989;;V
00000765;1;CALLE;DEL;PUERTO DE FUENFRIA;PUERTO DE FUENFRÍA;22/06/1989;;V
00000766;1;CALLE;DEL;PICO ALMENARA;PICO ALMENARA;22/06/1989;;V
00000767;1;CALLE;DEL;MONTON DE TRIGO;MONTÓN DE TRIGO;22/06/1989;;V
00000768;1;CALLE;DE;CABEZA LIJAR;CABEZA LÍJAR;22/06/1989;;V
00000769;1;CALLE;DEL;CERRO SAN PEDRO;CERRO SAN PEDRO;22/06/1989;;V
00000770;1;CALLE;DEL;PICO TRES PROVINCIAS;PICO TRES PROVINCIAS;22/06/1989;18/11/1997;H
00000771;1;CALLE;DE LA;SIERRA DE LOS PORRONES;SIERRA DE LOS PORRONES;22/06/1989;18/11/1997;H
00000772;1;CALLE;DE LA;PEÑA DEL YELMO;PEÑA DEL YELMO;22/06/1989;;V
00000773;1;CALLE;DE LAS;ESTACIONES;ESTACIONES;22/06/1989;01/04/2000;H
00000774;1;CALLE;DEL;CALENDARIO;CALENDARIO;22/06/1989;;V
00000775;1;PLAZA;DEL;VERANO;VERANO;22/06/1989;;V
00000776;1;AVENIDA;;FIN DE SEMANA;FIN DE SEMANA;22/06/1989;;V
00000777;1;AVENIDA;DEL;INVIERNO;INVIERNO;22/06/1989;;V
00000778;1;PLAZA;DE;JUAN DE LA COSSA;JUAN DE LA COSSA;22/06/1989;;V
00000779;1;CALLE;DE;DOÑA JUANA I DE CASTILLA;DOÑA JUANA I DE CASTILLA;22/06/1989;;V
00000780;1;CALLE;DEL;DOCTOR ZAMENHOF;DOCTOR ZAMENHOF;22/06/1989;;V
00000781;1;PLAZA;DE;RODOLFO Y ERNESTO HALFFTER;RODOLFO Y ERNESTO HALFFTER;29/09/1989;;V
00000782;1;PLAZA;DE;JOAQUIN RODRIGO;JOAQUÍN RODRIGO;29/09/1989;;V
00000783;1;CALLE;DEL;RISCO DE LOS CLAVELES;RISCO DE LOS CLAVELES;29/09/1989;;V
00000784;1;CALLE;DEL;PICO OCEJON;PICO OCEJÓN;29/09/1989;;V
00000785;1;CALLE;DE LAS;CINCO LAGUNAS;CINCO LAGUNAS;29/09/1989;;V
00000786;1;CALLE;DEL;PICO DE LA MIEL;PICO DE LA MIEL;29/09/1989;;V
00000787;2;CALLE;DE;JOSE BARDASANO BAOS;JOSÉ BARDASANO BAOS;27/11/1992;;V
00000787;1;CALLE;DEL;CARDENAL MARCELO SPINOLA;CARDENAL MARCELO SPÍNOLA;29/09/1989;27/11/1992;V
00000788;1;CALLE;DE;CALELLA;CALELLA;29/09/1989;;V
00000789;1;CALLE;DE;TOSSA;TOSSA;29/09/1989;;V
00000790;1;CALLE;DE;MALGRAT DE MAR;MALGRAT DE MAR;29/09/1989;;V
00000791;1;TRAVESIA;DE;HUMANES;HUMANES;29/09/1989;;V
00000792;1;CALLE;DE;TORREPEROGIL;TORREPEROGIL;29/09/1989;;V
00000793;1;CALLE;DE;HUESA;HUESA;29/09/1989;;V
00000794;1;CALLE;DE;CAMPILLO DE ARENAS;CAMPILLO DE ARENAS;29/09/1989;;V
00000795;1;CALLE;DE;IBROS;IBROS;29/09/1989;;V
00000796;1;CALLE;DE;GUARROMAN;GUARROMÁN;29/09/1989;;V
00000797;1;CALLE;DE;SABIOTE;SABIOTE;29/09/1989;;V
00000798;1;CALLE;DEL;RIO SAN LORENZO;RÍO SAN LORENZO;29/09/1989;;V
00000799;1;CALLE;DEL;RIO BRAVO;RÍO BRAVO;29/09/1989;;V
00000800;1;CALLE;DE;ABANTOS;ABANTOS;10/02/1945;;V
00000801;1;CALLE;DEL;RIO DE LA PLATA;RÍO DE LA PLATA;29/09/1989;;V
00000802;1;CALLE;DEL;RIO SAN PEDRO;RÍO SAN PEDRO;29/09/1989;;V
00000803;1;CALLE;DEL;RIO ARAUCA;RÍO ARAUCA;29/09/1989;;V
00000804;1;CALLE;DEL;RIO NEGRO;RÍO NEGRO;29/09/1989;;V
00000805;1;CALLE;DEL;RIO MAGDALENA;RÍO MAGDALENA;29/09/1989;;V
00000806;1;CALLE;DEL;RIO GRANDE;RÍO GRANDE;29/09/1989;;V
00000807;1;CALLE;DEL;RIO SALADO;RÍO SALADO;29/09/1989;;V
00000808;1;CALLE;DEL;RIO IGUAZU;RÍO IGUAZÚ;29/09/1989;;V
00000809;1;CALLE;DEL;RIO PARANA;RÍO PARANÁ;29/09/1989;;V
00000810;1;CALLE;DEL;RIO ORINOCO;RÍO ORINOCO;29/09/1989;;V
00000811;1;CALLE;DEL;RIO URUGUAY;RÍO URUGUAY;29/09/1989;;V
00000812;1;CALLE;DE;MANUEL BADIA;MANUEL BADÍA;29/09/1989;;V
00000813;1;CALLE;DEL;RIO CORRIENTES;RÍO CORRIENTES;29/09/1989;;V
00000814;1;CALLE;DEL;RIO CHICO;RÍO CHICO;29/09/1989;;V
00000815;1;CALLE;DEL;RIO JACUI;RÍO JACUÍ;29/09/1989;;V
00000816;1;CALLE;DEL;LAGO CALAFATE;LAGO CALAFATE;29/09/1989;;V
00000817;1;CALLE;DEL;GOLFO DE GUAYAQUIL;GOLFO DE GUAYAQUIL;29/09/1989;;V
00000818;1;CALLE;DEL;LAGO MARACAIBO;LAGO MARACAIBO;29/09/1989;;V
00000819;1;CALLE;DEL;RIO ESMERALDA;RÍO ESMERALDA;29/09/1989;;V
00000820;1;CALLE;DEL;GOLFO DE DARIEN;GOLFO DE DARIÉN;29/09/1989;;V
00000821;1;CALLE;DEL;LAGO MIRIM;LAGO MIRÍM;29/09/1989;;V
00000822;1;CALLE;DEL;LAGO NICARAGUA;LAGO NICARAGUA;29/09/1989;;V
00000823;1;CALLE;DEL;LAGO SAN MARTIN;LAGO SAN MARTÍN;29/09/1989;;V
00000824;1;CALLE;DEL;RIO COLORADO;RÍO COLORADO;29/09/1989;;V
